Player,Team,Pos.,yds,routes,tgts,Yds/Rt,Open,Catch,YAC,OverallOVR,Year
Antonio Gates,Chargers,TE,409,262,52,1.6,35,52,41,37,2018
Tyler Higbee,Rams,TE,675,485,83,1.4,41,45,40,37,2021
Jacob Hollister,Seahawks,TE,412,298,62,1.4,43,40,43,37,2019
Hayden Hurst,Bengals,TE,555,447,79,1.2,34,58,35,37,2022
Jerry Jeudy,Broncos,WR,856,464,109,1.8,50,17,58,37,2020
Cole Kmet,Bears,TE,544,353,58,1.5,48,43,32,37,2022
Vance McDonald,Steelers,TE,610,311,57,2.0,17,50,66,37,2018
Anthony Miller,Bears,WR,656,405,77,1.6,52,33,37,37,2019
Jordy Nelson,Raiders,WR,739,447,79,1.7,34,52,41,37,2018
Jordy Nelson,Packers,WR,482,435,80,1.1,40,46,40,37,2017
David Njoku,Browns,TE,639,417,80,1.5,27,49,55,37,2018
Golden Tate,Giants,WR,676,357,76,1.9,28,26,78,37,2019
C.J. Uzomah,Bengals,TE,639,505,76,1.3,36,30,62,37,2021
Marquez Valdes-Scantling,Packers,WR,838,432,73,1.9,34,31,66,37,2020
Marquez Valdes-Scantling,Packers,WR,581,404,70,1.4,45,30,50,37,2018
Cameron Brate,Buccaneers,TE,311,252,53,1.2,29,57,40,36,2019
Nico Collins,Texans,WR,446,319,61,1.4,32,45,50,36,2021
Amari Cooper,Raiders,WR,680,390,89,1.7,60,5,55,36,2017
Corey Davis,Jets,WR,492,253,58,1.9,26,43,62,36,2021
Gabe Davis,Bills,WR,684,443,70,1.5,32,44,52,36,2020
Evan Engram,Giants,TE,467,242,57,1.9,41,30,53,36,2019
Noah Fant,Broncos,TE,673,361,83,1.9,36,35,56,36,2020
Larry Fitzgerald,Cardinals,WR,804,457,90,1.8,19,63,48,36,2019
Kenny Golladay,Giants,WR,521,360,74,1.4,33,46,45,36,2021
Ray-Ray McCloud,Steelers,WR,297,303,60,1.0,41,35,47,36,2021
JuJu Smith-Schuster,Steelers,WR,988,598,129,1.7,26,55,47,36,2020
Trent Taylor,49ers,WR,430,326,57,1.3,31,53,43,36,2017
Sammy Watkins,Chiefs,WR,961,511,103,1.9,33,32,62,36,2019
Danny Amendola,Lions,WR,678,397,92,1.7,43,37,40,35,2019
Tyler Conklin,Vikings,TE,593,402,78,1.5,32,49,44,35,2021
Corey Davis,Jets,WR,536,364,64,1.5,26,57,42,35,2022
Romeo Doubs,Packers,WR,425,262,58,1.6,57,22,38,35,2022
Tyler Eifert,Jaguars,TE,349,319,58,1.1,31,43,51,35,2020
Mike Gesicki,Dolphins,TE,780,485,109,1.6,34,56,34,35,2021
Jimmy Graham,Bears,TE,481,345,76,1.4,25,59,43,35,2020
Jimmy Graham,Packers,TE,555,347,62,1.6,35,45,44,35,2019
Zach Pascal,Colts,WR,666,429,67,1.6,35,36,53,35,2020
Seth Roberts,Raiders,WR,455,413,62,1.1,46,40,33,35,2017
Golden Tate,Eagles,WR,859,378,106,2.3,29,26,72,35,2018
Marquez Valdes-Scantling,Packers,WR,460,271,53,1.7,38,34,50,35,2019
Jimmy Graham,Seahawks,TE,520,409,93,1.3,36,45,39,34,2017
Chris Hogan,Patriots,WR,590,521,71,1.1,44,32,44,34,2018
Julio Jones,Buccaneers,WR,373,251,52,1.5,27,51,47,34,2022
Jeremy Maclin,Ravens,WR,440,259,61,1.7,40,40,40,34,2017
DeVante Parker,Dolphins,WR,515,315,73,1.6,23,55,45,34,2021
Austin Seferian-Jenkins,Jets,TE,357,315,70,1.1,30,55,37,34,2017
Auden Tate,Bengals,WR,575,359,76,1.6,20,54,52,34,2019
Julius Thomas,Dolphins,TE,388,273,60,1.4,35,56,29,34,2017
Nelson Agholor,Eagles,WR,774,557,90,1.4,27,42,53,33,2018
Josh Doctson,Commanders,WR,502,411,75,1.2,35,25,60,33,2017
Austin Hooper,Browns,TE,345,255,55,1.4,39,35,44,33,2021
Jermaine Kearse,Jets,WR,371,339,74,1.1,48,22,44,33,2018
Cole Kmet,Bears,TE,612,429,87,1.4,45,26,44,33,2021
Kyle Rudolph,Vikings,TE,585,427,90,1.4,18,70,35,33,2017
Nelson Agholor,Eagles,WR,363,365,64,1.0,37,43,38,32,2019
Michael Gallup,Cowboys,WR,470,459,81,1.0,35,48,34,32,2022
Jalen Guyton,Chargers,WR,511,510,52,1.0,25,39,57,32,2020
T.J. Hockenson,Lions,TE,723,397,89,1.8,44,35,33,32,2020
Demarcus Robinson,Chiefs,WR,484,465,60,1.0,39,34,44,32,2019
Laviska Shenault,Jaguars,WR,619,390,82,1.6,50,9,57,32,2021
C.J. Uzomah,Bengals,TE,439,379,61,1.2,13,63,47,32,2018
Kendall Wright,Bears,WR,614,357,83,1.7,32,57,28,32,2017
Keelan Cole,Jaguars,WR,491,414,68,1.2,48,27,36,31,2018
Jared Cook,Chargers,TE,564,439,81,1.3,47,17,48,31,2021
Zach Ertz,Eagles,TE,335,300,67,1.1,60,17,31,31,2020
Russell Gage,Falcons,WR,446,334,66,1.3,45,29,39,31,2019
Mike Gesicki,Dolphins,TE,570,481,89,1.2,39,33,43,31,2019
K.J. Hamler,Broncos,WR,381,296,56,1.3,52,14,44,31,2020
Jack Doyle,Colts,TE,448,307,69,1.5,36,30,47,30,2019
Evan Engram,Giants,TE,408,377,67,1.1,28,47,39,30,2021
Darren Fells,Texans,TE,400,337,55,1.2,30,40,46,30,2019
O.J. Howard,Buccaneers,TE,459,313,50,1.5,31,40,44,30,2019
Jesse James,Steelers,TE,384,389,57,1.0,23,46,46,30,2017
Sammy Watkins,Chiefs,WR,434,307,55,1.4,33,40,39,30,2020
Nick Westbrook-Ikhine,Titans,WR,397,382,49,1.0,33,40,39,30,2022
Stephen Anderson,Texans,TE,342,254,51,1.3,32,28,52,29,2017
